Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Date
956,55,Male,Handbag,Clothing,66,Mississippi,L,Yellow,Winter,3.6,Yes,Store Pickup,Yes,Yes,4,PayPal,Every 3 Months,2024-05-16
2911,32,Female,Belt,Accessories,60,Mississippi,M,Maroon,Summer,3.5,No,2-Day Shipping,No,No,41,Credit Card,Fortnightly,2024-05-16
623,69,Male,Scarf,Clothing,70,Georgia,S,Cyan,Summer,3.4,Yes,2-Day Shipping,Yes,Yes,44,Bank Transfer,Fortnightly,2024-05-16
1189,68,Male,Jeans,Clothing,58,Mississippi,M,Green,Winter,3.6,No,Store Pickup,Yes,Yes,11,Credit Card,Weekly,2024-05-16
1717,69,Male,Sneakers,Clothing,45,Connecticut,M,Brown,Spring,2.3,No,Next Day Air,No,No,30,Cash,Quarterly,2024-05-16
3810,57,Female,Sunglasses,Footwear,31,New York,S,Beige,Spring,4.8,No,2-Day Shipping,No,No,28,Credit Card,Monthly,2024-05-16
603,37,Male,Socks,Footwear,37,Oregon,L,Orange,Fall,3.5,Yes,Next Day Air,Yes,Yes,10,Cash,Weekly,2024-05-16
2893,22,Female,Jeans,Clothing,100,Nevada,M,Silver,Summer,4.3,No,Standard,No,No,47,Credit Card,Bi-Weekly,2024-05-16
1662,64,Male,Sunglasses,Accessories,70,Iowa,S,Cyan,Winter,4.5,No,Free Shipping,Yes,Yes,21,Debit Card,Bi-Weekly,2024-05-16
1497,63,Male,Shoes,Clothing,30,Idaho,M,Gold,Winter,4.1,No,2-Day Shipping,Yes,Yes,9,Venmo,Weekly,2024-05-16
938,32,Male,Shoes,Clothing,71,Iowa,M,Olive,Winter,2.0,Yes,Express,Yes,Yes,18,Venmo,Every 3 Months,2024-05-16
3054,32,Female,Socks,Footwear,51,Maine,L,Brown,Summer,2.8,No,2-Day Shipping,No,No,22,Bank Transfer,Bi-Weekly,2024-05-16
2289,28,Male,Dress,Accessories,66,California,M,Silver,Summer,4.7,No,Express,No,No,50,PayPal,Bi-Weekly,2024-05-16
717,30,Male,Jacket,Accessories,60,Missouri,M,Silver,Summer,4.7,Yes,Store Pickup,Yes,Yes,9,Venmo,Quarterly,2024-05-16
289,30,Male,Sweater,Clothing,61,North Carolina,M,Peach,Winter,4.7,Yes,Next Day Air,Yes,Yes,34,Venmo,Bi-Weekly,2024-05-16
2427,70,Male,Sunglasses,Outerwear,5,Florida,M,Charcoal,Winter,2.7,No,Next Day Air,No,No,26,Debit Card,Every 3 Months,2024-05-16
3102,32,Female,Boots,Accessories,48,Idaho,S,Pink,Summer,4.2,No,Express,No,No,9,PayPal,Monthly,2024-05-16
2413,53,Male,Sandals,Outerwear,56,Oregon,M,Violet,Fall,4.3,No,Free Shipping,No,No,8,Bank Transfer,Bi-Weekly,2024-05-16
3328,47,Female,Scarf,Clothing,62,Connecticut,M,Lavender,Summer,4.6,No,2-Day Shipping,No,No,2,Debit Card,Monthly,2024-05-16
2369,29,Male,Shorts,Accessories,38,New Jersey,M,Brown,Summer,4.2,No,Free Shipping,No,No,6,Debit Card,Annually,2024-05-16
143,37,Male,Dress,Outerwear,44,Nebraska,L,White,Summer,2.8,Yes,Free Shipping,Yes,Yes,33,Credit Card,Weekly,2024-05-16
3473,31,Female,Dress,Clothing,50,Georgia,S,Indigo,Spring,4.1,No,2-Day Shipping,No,No,15,Debit Card,Annually,2024-05-16
3258,44,Female,Dress,Clothing,71,Minnesota,M,Yellow,Summer,3.5,No,Store Pickup,No,No,39,Venmo,Monthly,2024-05-16
2707,24,Female,Pants,Footwear,92,Alabama,S,Indigo,Spring,4.3,No,Standard,No,No,48,Debit Card,Monthly,2024-05-16
2094,21,Male,Pants,Clothing,119,Washington,M,Gray,Spring,2.3,No,Free Shipping,No,No,4,Debit Card,Annually,2024-05-16
2720,69,Female,Sneakers,Clothing,46,Louisiana,S,Lavender,Summer,3.3,No,2-Day Shipping,No,No,4,Bank Transfer,Quarterly,2024-05-16
674,35,Male,Belt,Clothing,64,Oklahoma,M,Teal,Winter,3.1,Yes,2-Day Shipping,Yes,Yes,27,Venmo,Quarterly,2024-05-16
3742,58,Female,Shoes,Clothing,56,Arizona,M,Orange,Summer,3.2,No,Next Day Air,No,No,26,Debit Card,Fortnightly,2024-05-16
850,23,Male,Skirt,Clothing,71,Missouri,S,Pink,Fall,4.5,Yes,Express,Yes,Yes,24,PayPal,Quarterly,2024-05-16
2059,29,Male,Shoes,Clothing,49,Washington,M,Olive,Spring,5.0,No,2-Day Shipping,No,No,17,Bank Transfer,Weekly,2024-05-16
2748,18,Female,Gloves,Clothing,34,West Virginia,M,Silver,Winter,3.5,No,2-Day Shipping,No,No,21,Credit Card,Bi-Weekly,2024-05-16
840,48,Male,Gloves,Clothing,53,Illinois,L,Black,Winter,4.5,Yes,Free Shipping,Yes,Yes,10,Debit Card,Quarterly,2024-05-16
2876,24,Female,Handbag,Clothing,50,Kentucky,M,Charcoal,Spring,3.0,No,Next Day Air,No,No,14,Debit Card,Quarterly,2024-05-17
2993,41,Female,Gloves,Clothing,51,North Dakota,M,Cyan,Fall,2.5,No,Next Day Air,No,No,25,Venmo,Annually,2024-05-17
882,52,Male,Sweater,Footwear,59,South Carolina,M,Purple,Fall,3.5,Yes,Next Day Air,Yes,Yes,18,Venmo,Every 3 Months,2024-05-17
148,63,Male,Belt,Footwear,36,Idaho,M,Lavender,Summer,3.7,Yes,Free Shipping,Yes,Yes,31,Bank Transfer,Fortnightly,2024-05-17
768,27,Male,Blouse,Outerwear,58,Pennsylvania,M,Turquoise,Fall,4.9,Yes,Express,Yes,Yes,11,Cash,Bi-Weekly,2024-05-17
3828,62,Female,Blouse,Accessories,31,Montana,M,Peach,Winter,4.9,No,Standard,No,No,47,Cash,Bi-Weekly,2024-05-17
3791,27,Female,T-shirt,Accessories,45,Alaska,XL,Cyan,Winter,2.1,No,Standard,No,No,31,Credit Card,Quarterly,2024-05-17
1599,47,Male,Dress,Accessories,100,California,M,Charcoal,Spring,2.7,No,Standard,Yes,Yes,21,Venmo,Fortnightly,2024-05-17
3137,58,Female,Handbag,Clothing,60,Minnesota,M,Magenta,Summer,2.7,No,Standard,No,No,29,Cash,Fortnightly,2024-05-17
1983,41,Male,Pants,Accessories,91,Kansas,M,Gold,Summer,2.3,No,Standard,No,No,32,PayPal,Weekly,2024-05-17
2764,28,Female,Shorts,Accessories,73,West Virginia,M,Peach,Fall,2.6,No,Standard,No,No,35,Venmo,Quarterly,2024-05-17
3338,23,Female,Skirt,Outerwear,45,Arizona,L,Gold,Spring,3.0,No,Standard,No,No,45,Bank Transfer,Monthly,2024-05-17
3639,40,Female,Shirt,Accessories,63,Kansas,M,Brown,Spring,4.3,No,Next Day Air,No,No,50,PayPal,Quarterly,2024-05-17
761,33,Male,Sunglasses,Accessories,94,Minnesota,XL,Cyan,Spring,3.0,Yes,2-Day Shipping,Yes,Yes,6,Cash,Quarterly,2024-05-17
2270,49,Male,Jewelry,Clothing,89,Kentucky,M,Yellow,Winter,3.3,No,2-Day Shipping,No,No,27,Credit Card,Every 3 Months,2024-05-17
2661,24,Female,Gloves,Clothing,58,South Carolina,L,Teal,Fall,4.9,No,2-Day Shipping,No,No,44,Venmo,Weekly,2024-05-17
1105,35,Male,Jeans,Accessories,79,Delaware,M,Peach,Fall,4.4,No,Store Pickup,Yes,Yes,8,Bank Transfer,Annually,2024-05-17
2903,27,Female,Pants,Footwear,74,North Carolina,S,Turquoise,Spring,4.2,No,Next Day Air,No,No,19,PayPal,Bi-Weekly,2024-05-17
2761,41,Female,Handbag,Clothing,76,Alaska,S,Green,Fall,2.4,No,Next Day Air,No,No,41,Credit Card,Fortnightly,2024-05-17
216,62,Male,Shirt,Accessories,101,New Jersey,S,White,Fall,2.9,Yes,Standard,Yes,Yes,24,PayPal,Every 3 Months,2024-05-17
2564,69,Male,Sunglasses,Accessories,66,Massachusetts,XL,Olive,Fall,2.6,No,Standard,No,No,1,Venmo,Annually,2024-05-17
1360,27,Male,Shorts,Clothing,66,North Carolina,S,Beige,Winter,4.8,No,Standard,Yes,Yes,26,Bank Transfer,Weekly,2024-05-17
3895,66,Female,Hoodie,Clothing,125,Connecticut,L,Maroon,Spring,4.0,No,Next Day Air,No,No,44,Credit Card,Fortnightly,2024-05-17
2755,59,Female,Shirt,Accessories,74,New Jersey,L,Yellow,Winter,3.5,No,Next Day Air,No,No,21,Venmo,Every 3 Months,2024-05-17
1307,54,Male,Gloves,Clothing,76,Alaska,L,Gray,Summer,2.1,No,Free Shipping,Yes,Yes,40,PayPal,Annually,2024-05-17
2928,45,Female,Coat,Clothing,78,Missouri,M,Purple,Summer,3.5,No,Express,No,No,15,Venmo,Weekly,2024-05-17
1523,38,Male,Jewelry,Clothing,58,Tennessee,L,Blue,Summer,2.2,No,Store Pickup,Yes,Yes,5,Debit Card,Weekly,2024-05-17
378,63,Male,Hat,Accessories,40,Maine,M,Green,Fall,3.1,Yes,Store Pickup,Yes,Yes,39,Credit Card,Weekly,2024-05-17
2352,38,Male,Skirt,Clothing,59,New Hampshire,S,Gray,Winter,3.0,No,Free Shipping,No,No,25,PayPal,Bi-Weekly,2024-05-17
2719,22,Female,Shorts,Clothing,86,Virginia,M,Green,Summer,4.6,No,Express,No,No,10,Venmo,Every 3 Months,2024-05-17
832,66,Male,Socks,Accessories,40,Washington,M,Black,Spring,2.9,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,2024-05-17
1808,34,Male,Boots,Footwear,84,Vermont,L,Olive,Fall,2.5,No,Standard,No,No,37,Venmo,Bi-Weekly,2024-05-17
2072,69,Male,Sunglasses,Outerwear,81,South Carolina,S,Beige,Summer,4.6,No,Express,No,No,37,PayPal,Quarterly,2024-05-17
83,19,Male,Shoes,Clothing,23,Georgia,S,Brown,Spring,4.3,Yes,Store Pickup,Yes,Yes,21,Credit Card,Bi-Weekly,2024-05-17
3246,63,Female,Skirt,Clothing,19,Kansas,M,Gold,Winter,3.4,No,Express,No,No,20,Cash,Monthly,2024-05-17
3506,48,Female,Boots,Accessories,24,Indiana,L,White,Winter,4.4,No,Next Day Air,No,No,40,Bank Transfer,Monthly,2024-05-17
3857,39,Female,Socks,Footwear,37,Virginia,S,Lavender,Summer,3.0,No,Next Day Air,No,No,8,Debit Card,Every 3 Months,2024-05-17
1746,40,Male,Jacket,Clothing,35,West Virginia,L,Maroon,Fall,2.4,No,Express,No,No,27,Cash,Monthly,2024-05-17
3526,45,Female,Scarf,Accessories,57,Wyoming,L,Cyan,Spring,3.4,No,2-Day Shipping,No,No,47,Bank Transfer,Every 3 Months,2024-05-17
2156,32,Male,Gloves,Accessories,68,Hawaii,L,Teal,Fall,4.3,No,Free Shipping,No,No,46,PayPal,Fortnightly,2024-05-17
2704,56,Female,Jacket,Accessories,47,Tennessee,XL,Silver,Spring,4.1,No,Store Pickup,No,No,34,PayPal,Bi-Weekly,2024-05-17
3406,28,Female,Sunglasses,Clothing,60,Washington,M,Pink,Fall,2.1,No,Store Pickup,No,No,47,Bank Transfer,Annually,2024-05-17
3072,23,Female,Sunglasses,Clothing,78,New Hampshire,L,White,Winter,3.9,No,2-Day Shipping,No,No,6,PayPal,Every 3 Months,2024-05-17
944,32,Male,Jeans,Accessories,37,Oklahoma,L,Magenta,Fall,4.5,Yes,Free Shipping,Yes,Yes,13,Venmo,Bi-Weekly,2024-05-17
1822,57,Male,Scarf,Clothing,86,Maine,M,Magenta,Winter,3.0,No,Next Day Air,No,No,29,PayPal,Quarterly,2024-05-17
2204,53,Male,Jewelry,Clothing,104,Rhode Island,M,Green,Fall,4.2,No,Express,No,No,32,Cash,Monthly,2024-05-17
448,60,Male,Hat,Clothing,71,Washington,S,Charcoal,Fall,4.6,Yes,Express,Yes,Yes,7,Bank Transfer,Annually,2024-05-17
2054,19,Male,Hat,Accessories,45,Wyoming,S,Charcoal,Summer,4.0,No,2-Day Shipping,No,No,16,Credit Card,Weekly,2024-05-17
2474,57,Male,Jewelry,Clothing,35,Arkansas,M,White,Spring,4.1,No,Store Pickup,No,No,28,Cash,Fortnightly,2024-05-18
2903,27,Female,Skirt,Footwear,61,North Carolina,S,Purple,Winter,3.6,No,Free Shipping,No,No,19,PayPal,Every 3 Months,2024-05-18
2633,24,Male,Hat,Accessories,52,Alaska,M,Indigo,Winter,4.0,No,Standard,No,No,14,Cash,Bi-Weekly,2024-05-18
3307,63,Female,Socks,Outerwear,72,Colorado,L,Black,Winter,3.1,No,Next Day Air,No,No,6,Venmo,Quarterly,2024-05-18
3711,60,Female,Dress,Accessories,52,Hawaii,M,Gray,Spring,4.6,No,Free Shipping,No,No,32,Bank Transfer,Bi-Weekly,2024-05-18
1884,25,Male,Handbag,Accessories,94,Georgia,M,Maroon,Spring,2.9,No,Next Day Air,No,No,39,Debit Card,Annually,2024-05-18
2079,49,Male,Shoes,Clothing,62,Hawaii,M,Olive,Spring,2.7,No,Standard,No,No,40,Debit Card,Annually,2024-05-18
2626,30,Male,Hat,Clothing,77,Colorado,L,Maroon,Winter,2.9,No,Standard,No,No,31,Credit Card,Bi-Weekly,2024-05-18
1420,43,Male,Shorts,Accessories,46,Montana,M,Purple,Summer,4.2,No,2-Day Shipping,Yes,Yes,4,Debit Card,Weekly,2024-05-18
2585,26,Male,Scarf,Clothing,55,Florida,L,Magenta,Winter,4.5,No,Next Day Air,No,No,26,Bank Transfer,Every 3 Months,2024-05-18
3727,47,Female,Boots,Accessories,50,Idaho,XL,Gray,Winter,4.4,No,Store Pickup,No,No,36,Debit Card,Every 3 Months,2024-05-18
2596,29,Male,Boots,Clothing,5,Iowa,XL,Purple,Summer,4.8,No,Standard,No,No,3,Bank Transfer,Every 3 Months,2024-05-18
2603,65,Male,Coat,Outerwear,23,South Carolina,M,Orange,Summer,2.5,No,Standard,No,No,1,Venmo,Every 3 Months,2024-05-18
211,45,Male,Jewelry,Outerwear,64,Vermont,L,Cyan,Fall,4.0,Yes,Express,Yes,Yes,6,PayPal,Monthly,2024-05-18
1843,61,Male,Blouse,Accessories,46,Alabama,M,Peach,Winter,2.6,No,Express,No,No,1,Debit Card,Every 3 Months,2024-05-18
2900,50,Female,Belt,Footwear,23,Nebraska,M,Peach,Spring,2.1,No,Next Day Air,No,No,22,Bank Transfer,Fortnightly,2024-05-18
1645,68,Male,Jewelry,Outerwear,96,North Carolina,S,Green,Fall,3.3,No,Store Pickup,Yes,Yes,21,Debit Card,Monthly,2024-05-18
1434,70,Male,Gloves,Clothing,48,Minnesota,L,Indigo,Winter,2.2,No,Free Shipping,Yes,Yes,45,Debit Card,Monthly,2024-05-18
2782,65,Female,Scarf,Footwear,70,Mississippi,M,Turquoise,Spring,2.4,No,Store Pickup,No,No,33,PayPal,Monthly,2024-05-18
1703,54,Male,Sunglasses,Clothing,73,Alabama,XL,Silver,Fall,3.1,No,2-Day Shipping,No,No,48,Bank Transfer,Bi-Weekly,2024-05-18
3255,21,Female,Shirt,Clothing,52,Indiana,S,Green,Winter,3.2,No,Next Day Air,No,No,11,Bank Transfer,Fortnightly,2024-05-18
78,22,Male,Blouse,Clothing,69,Delaware,L,Blue,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,36,Debit Card,Bi-Weekly,2024-05-18
2343,20,Male,Boots,Clothing,57,Tennessee,M,Teal,Spring,4.2,No,Express,No,No,16,Debit Card,Every 3 Months,2024-05-18
354,63,Male,Sweater,Footwear,56,Missouri,L,Maroon,Summer,4.4,Yes,Store Pickup,Yes,Yes,35,Debit Card,Monthly,2024-05-18
2384,53,Male,Sandals,Accessories,78,Rhode Island,L,Teal,Spring,2.1,No,Next Day Air,No,No,25,Bank Transfer,Bi-Weekly,2024-05-18
2832,34,Female,Socks,Clothing,56,Virginia,L,Beige,Spring,2.9,No,Standard,No,No,4,Credit Card,Every 3 Months,2024-05-18
2820,67,Female,Gloves,Clothing,43,Georgia,L,Cyan,Fall,3.5,No,Standard,No,No,19,Cash,Bi-Weekly,2024-05-18
2453,68,Male,Shorts,Clothing,87,New York,L,Red,Spring,4.7,No,Store Pickup,No,No,45,Bank Transfer,Weekly,2024-05-18
2878,32,Female,Backpack,Clothing,37,New Jersey,M,Magenta,Winter,2.6,No,Express,No,No,34,Venmo,Weekly,2024-05-18
2713,37,Female,Belt,Outerwear,46,North Dakota,L,Silver,Summer,2.8,No,Express,No,No,7,Debit Card,Quarterly,2024-05-18
418,23,Male,Backpack,Footwear,43,Mississippi,L,Red,Summer,2.2,Yes,Next Day Air,Yes,Yes,48,Debit Card,Quarterly,2024-05-18
2049,45,Male,Shoes,Footwear,29,Michigan,XL,Pink,Spring,3.2,No,Express,No,No,35,Bank Transfer,Weekly,2024-05-18
97,32,Male,Hat,Accessories,49,Delaware,S,Green,Spring,2.6,Yes,Standard,Yes,Yes,43,Venmo,Fortnightly,2024-05-18
3676,70,Female,Blouse,Accessories,53,Virginia,M,Black,Spring,3.6,No,Standard,No,No,3,Bank Transfer,Quarterly,2024-05-18
1646,53,Male,Jewelry,Accessories,36,Ohio,L,Indigo,Winter,3.4,No,Store Pickup,Yes,Yes,36,Venmo,Bi-Weekly,2024-05-18
1468,30,Male,T-shirt,Accessories,32,Ohio,XL,Teal,Fall,3.6,No,2-Day Shipping,Yes,Yes,16,Debit Card,Quarterly,2024-05-18
